Experiment,Virus,Timepoint,IFNaConc,Replicate,TotalEventsCount,SingletsCount,PercLiveCells,LiveCellsCount,PerInfectedofLiveCells,CountInfectedCellsofLiveCells,CountNonInfectedofLiveCells,PercDeadCells,CountDeadCells,PercInfectedofDeadCells,CountInfectedofDeadCells,CountNoninfectedofDeadCells, SampleID, CellsPerUL,  TotalVolume, AcquisitionTime,CellsInExperimentInCellsPerUl
ES_IFNa_moredoses,CH058-TF,1,0,1,14392,14048,85.1,11955,0.26,31,11924,14.9,2090,0.096,2,2088, A01,148.0779793,97.19203402,164.7322611,296.1559586
ES_IFNa_moredoses,CH058-TF,1,0,2,14631,14298,86.1,12305,0.2,24,12281,13.9,1993,0.15,3,1990, C01,150.538229,97.19125895,164.7309474,301.0764581
ES_IFNa_moredoses,CH058-TF,1,0,3,14715,14366,85.6,12292,0.2,24,12268,14.4,2074,0.39,8,2066, E01,151.4029842,97.19095091,164.7304253,302.8059683
ES_IFNa_moredoses,CH058-TF,1,0,4,15077,14692,85.4,12549,0.27,34,12515,14.6,2143,0.23,5,2138, G01,155.3109026,97.07624994,164.5360168,310.6218052
ES_IFNa_moredoses,CH058-6MO,1,0,1,14782,14445,85.8,12388,0.29,36,12352,14.2,2056,0.39,8,2048, A02,152.2737844,97.07514695,164.5341474,304.5475689
ES_IFNa_moredoses,CH058-6MO,1,0,2,14873,14488,85.3,12357,0.32,39,12318,14.7,2131,0.23,5,2126, C02,153.0267881,97.19213339,164.7324295,306.0535762
ES_IFNa_moredoses,CH058-6MO,1,0,3,14928,14558,85.3,12422,0.39,48,12374,14.7,2134,0.28,6,2128, E02,153.5945933,97.19092109,164.7303747,307.1891866
ES_IFNa_moredoses,CH058-6MO,1,0,4,14771,14453,85.5,12355,0.32,40,12315,14.5,2098,0.048,1,2097, G02,151.9798998,97.19048387,164.7296337,303.9597996
ES_IFNa_moredoses,CH058-TF,1,0.1,1,14914,14522,85.7,12450,0.18,22,12428,14.3,2070,0.24,5,2065, A03,153.449433,97.19162661,164.7315705,306.8988661
ES_IFNa_moredoses,CH058-TF,1,0.1,2,15204,14787,86,12718,0.19,24,12694,14,2069,0.14,3,2066, C03,156.6217337,97.07465011,164.5333053,313.2434674
ES_IFNa_moredoses,CH058-TF,1,0.1,3,15292,14904,85.5,12739,0.2,25,12714,14.5,2163,0.18,4,2159, E03,157.3423247,97.18936101,164.7277305,314.6846495
ES_IFNa_moredoses,CH058-TF,1,0.1,4,15510,15137,85.9,13005,0.28,36,12969,14.1,2131,0.23,5,2126, G03,159.5806859,97.19221288,164.7325642,319.1613719
ES_IFNa_moredoses,CH058-6MO,1,0.1,1,14433,14035,85.4,11983,0.29,35,11948,14.6,2050,0.24,5,2045, A04,148.5011303,97.19117945,164.7308126,297.0022605
ES_IFNa_moredoses,CH058-6MO,1,0.1,2,14698,14258,84.4,12035,0.25,30,12005,15.6,2223,0.18,4,2219, C04,151.4083359,97.07523638,164.5342989,302.8166719
ES_IFNa_moredoses,CH058-6MO,1,0.1,3,14715,14291,85.5,12215,0.25,31,12184,14.5,2074,0.19,4,2070, E04,151.4035879,97.19056337,164.7297684,302.8071757
ES_IFNa_moredoses,CH058-6MO,1,0.1,4,14754,14335,84.9,12177,0.34,42,12135,15,2155,0.093,2,2153, G04,151.8029524,97.1917856,164.73184,303.6059047
ES_IFNa_moredoses,CH058-TF,1,0.2,1,14417,14089,90.1,12696,0.26,33,12663,9.88,1392,0.29,4,1388, A05,148.3375831,97.19047394,164.7296168,296.6751661
ES_IFNa_moredoses,CH058-TF,1,0.2,2,14942,14569,90.1,13124,0.37,48,13076,9.91,1444,0.21,3,1441, C05,153.9227011,97.07469979,164.5333895,307.8454022
ES_IFNa_moredoses,CH058-TF,1,0.2,3,15471,15105,89.3,13496,0.25,34,13462,10.6,1606,0.062,1,1605, E05,159.1820557,97.19060312,164.7298358,318.3641114
ES_IFNa_moredoses,CH058-TF,1,0.2,4,15483,15095,89.7,13545,0.27,37,13508,10.3,1549,0.065,1,1548, G05,159.3048078,97.19104034,164.7305768,318.6096156
